step,loss,grad_norm_unclipped
0,5.245341,3.362251
1000,0.000217,0.000418
2000,6.8e-05,0.000197
3000,3.4e-05,0.00015
4000,1.9e-05,0.000118
5000,1.1e-05,9.5e-05
6000,7e-06,8.5e-05
7000,4e-06,0.000103
8000,3e-06,0.000173
9000,2e-06,0.000233
10000,1e-06,0.000186
11000,1e-06,0.000151
12000,1e-06,9.8e-05
13000,1e-06,9.9e-05
14000,0.0,7.5e-05
15000,0.0,4.8e-05
16000,0.0,3.6e-05
17000,0.0,3e-05
18000,0.0,2.3e-05
19000,0.0,2e-05
20000,0.0,1.6e-05
21000,0.0,1.2e-05
22000,0.0,1e-05
23000,0.0,9e-06
24000,0.0,8e-06
25000,0.0,6e-06
26000,0.0,6e-06
27000,0.0,5e-06
28000,0.0,4e-06
29000,0.0,4e-06
30000,0.0,4e-06
31000,0.0,4e-06
32000,0.0,4e-06
33000,0.0,4e-06
34000,0.0,4e-06
35000,0.0,4e-06
36000,0.0,4e-06
37000,0.0,4e-06
38000,0.0,4e-06
39000,0.0,4e-06
40000,0.0,4e-06
41000,0.0,4e-06
42000,0.0,5e-06
43000,0.0,5e-06
44000,0.0,5e-06
45000,0.0,5e-06
46000,0.0,5e-06
47000,0.0,5e-06
48000,0.0,6e-06
49000,0.0,5e-06
50000,0.0,6e-06
51000,0.0,6e-06
52000,0.0,6e-06
53000,0.0,6e-06
54000,0.0,6e-06
55000,0.0,6e-06
56000,0.0,7e-06
57000,0.0,7e-06
58000,0.0,6e-06
59000,0.0,5e-06
60000,0.0,7e-06
61000,0.0,6e-06
62000,0.0,6e-06
63000,0.0,6e-06
64000,0.0,6e-06
65000,0.081717,4.246598
66000,0.059343,1.572955
67000,0.010043,0.040864
68000,0.005428,0.022858
69000,0.004445,0.120603
70000,0.034067,2.687311
71000,0.000488,0.002755
72000,0.000267,0.044059
73000,9.4e-05,0.000641
74000,0.001015,0.005978
75000,0.005821,1.265231
76000,2e-05,9e-05
77000,7e-06,2.6e-05
78000,4e-06,1.6e-05
79000,2e-06,1.3e-05
80000,1e-06,8e-06
81000,1e-06,6e-06
82000,3.3e-05,0.00017
83000,0.000226,0.001478
84000,1e-05,5.3e-05
85000,4e-06,2.6e-05
86000,0.000994,0.559059
87000,0.00039,0.002936
88000,1.2e-05,6.4e-05
89000,0.000289,0.001986
90000,7e-06,4.1e-05
91000,2e-06,1.2e-05
92000,1e-06,1.1e-05
93000,1e-06,7e-06
94000,1e-06,6e-06
95000,0.000635,0.049634
96000,0.000226,0.002626
97000,6e-06,4e-05
98000,2e-06,1.4e-05
99000,3.3e-05,0.000207
100000,0.003327,0.017273
101000,7e-06,6.5e-05
102000,5e-06,3.5e-05
103000,2e-06,1.2e-05
