step,loss,grad_norm_unclipped
0,5.245341,3.362251
5000,1.1e-05,9.5e-05
10000,1e-06,0.000186
15000,0.0,4.8e-05
20000,0.0,1.6e-05
25000,0.0,6e-06
30000,0.0,4e-06
35000,0.0,4e-06
40000,0.0,4e-06
45000,0.0,5e-06
50000,0.0,6e-06
55000,0.0,6e-06
60000,0.0,7e-06
65000,0.081717,4.246598
70000,0.034067,2.687311
75000,0.005821,1.265231
80000,1e-06,8e-06
85000,4e-06,2.6e-05
90000,7e-06,4.1e-05
95000,0.000635,0.049634
100000,0.003327,0.017273
105000,1e-06,5e-06
110000,0.0,7e-06
115000,0.000654,0.004274
120000,2e-06,1.7e-05
125000,1e-06,9e-06
130000,0.0,1.4e-05
135000,4e-06,3.6e-05
140000,0.000183,0.024771
145000,6e-06,7e-05
150000,0.0,4e-06
155000,1e-06,2.3e-05
160000,2e-06,2.5e-05
165000,1e-06,2.2e-05
170000,2e-06,1.3e-05
175000,1e-06,1.4e-05
180000,1.6e-05,0.000132
185000,1e-06,1.1e-05
190000,8e-06,7.2e-05
195000,0.000479,0.003174
200000,1e-06,8e-06
205000,0.0,4e-06
210000,2e-06,1.6e-05
215000,0.0,4e-06
220000,1.2e-05,0.00036
225000,0.0,5e-06
230000,0.0,7e-06
235000,2.8e-05,0.000741
240000,0.0,5e-06
245000,5.2e-05,0.005675
250000,0.0,9e-06
255000,7e-06,6e-05
260000,0.0,4e-06
265000,0.0,2.8e-05
270000,0.0,4e-06
275000,0.0,4e-06
280000,0.0,2e-06
285000,2e-06,3.8e-05
290000,0.0,2e-06
295000,0.0,4e-06
300000,2e-06,2.6e-05
305000,0.0,3e-06
310000,0.0,8e-06
315000,0.0,4e-06
320000,0.0,3e-06
325000,0.0,3e-06
330000,0.0,5e-06
335000,0.0,1.9e-05
340000,0.000295,0.004822
345000,0.0,3e-06
350000,1e-06,1.6e-05
355000,0.0,4e-06
360000,0.0,7e-06
365000,0.0,6.2e-05
370000,0.0,6e-06
375000,0.0,1e-05
380000,1e-06,9e-06
385000,0.0,3e-06
390000,1e-06,2.3e-05
395000,0.0,8e-06
400000,0.0,3e-06
405000,0.0,2.4e-05
410000,0.0,3e-06
415000,0.0,3.2e-05
420000,2e-06,7e-05
425000,0.0,1e-06
430000,0.0,6e-06
435000,0.0,2e-06
440000,0.0,5.3e-05
445000,0.0,2e-06
450000,0.0,2e-06
455000,2e-06,2.2e-05
460000,0.0,2e-06
465000,0.0,1.6e-05
470000,0.0,2e-06
475000,0.0,1e-05
480000,0.0,1e-06
485000,0.0,2e-06
490000,1e-06,9e-06
495000,0.0,2e-06
500000,0.0,3e-06
505000,0.0,1.3e-05
510000,0.0,4e-06
515000,0.0,3e-06
510000,0.0,4e-06
515000,0.0,3e-06
520000,0.0,7e-06
525000,0.0,2e-06
530000,0.0,1e-05
535000,0.0,1e-06
540000,0.0,5e-06
545000,0.0,5e-06
550000,0.0,2e-06
555000,0.0,5e-06
560000,0.0,7e-06
565000,0.0,5e-06
570000,0.0,1e-06
575000,0.0,5e-06
580000,0.0,4e-06
585000,0.0,2e-06
590000,0.0,0.0
595000,0.0,0.0
600000,0.0,3e-06
605000,0.0,3e-06
610000,0.0,2e-06
615000,0.0,3e-06
620000,0.0,1e-06
625000,0.0,3e-06
630000,0.0,1e-06
635000,0.0,7.3e-05
630000,0.0,1e-06
635000,0.0,8e-06
640000,0.0,5e-06
645000,0.0,4e-06
650000,0.0,2e-06
655000,0.0,2e-06
660000,0.0,1e-06
665000,0.0,0.0
670000,0.0,1e-06
675000,0.0,1e-06
680000,0.0,0.0
685000,0.0,0.0
690000,0.0,3e-06
695000,0.0,1e-06
700000,0.0,1e-06
705000,0.0,1e-06
710000,0.0,2e-06
715000,0.0,1e-06
720000,0.0,4e-06
725000,0.0,1e-06
730000,0.0,0.0
735000,0.0,5e-06
740000,0.0,4e-06
745000,0.0,3e-06
750000,0.0,0.0
755000,0.0,4e-06
760000,0.0,2e-06
765000,1e-06,8e-06
770000,0.0,1e-06
775000,0.0,4e-06
780000,0.0,1e-06
785000,0.0,1e-05
790000,0.0,3e-06
795000,0.0,3e-06
800000,0.0,2e-06
805000,0.0,1e-06
810000,0.0,1e-06
815000,0.0,1e-06
820000,0.0,1e-06
825000,0.0,1e-06
830000,0.0,1e-06
835000,0.0,1e-06
840000,0.0,1e-06
845000,0.0,1e-06
850000,5.8e-05,0.000922
855000,0.0,1e-06
860000,0.0,1e-06
865000,0.0,1e-06
870000,0.0,5e-06
875000,0.0,1e-06
880000,0.0,1e-06
885000,0.0,2e-06
890000,0.0,3e-06
895000,0.0,1e-06
900000,0.0,4.8e-05
905000,1e-06,6e-06
910000,1e-06,6e-06
915000,0.0,1e-06
920000,0.0,4e-06
925000,0.0,4e-06
930000,0.0,4e-06
935000,0.0,4e-06
940000,0.0,5e-06
945000,0.0,2e-06
950000,0.0,4e-06
955000,0.0,0.000109
960000,0.0,3e-06
965000,0.0,3e-06
970000,0.0,1e-06
975000,0.0,1e-06
980000,0.0,3e-06
985000,0.0,7.4e-05
990000,0.0,1e-06
995000,0.0,1e-06
1000000,0.0,1.1e-05
